,name,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
4517,Yamato 792554,Valid,OC,0.01084,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4518,Yamato 792584,Valid,OC,0.00364,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4519,Yamato 792997,Valid,EC,0.00244,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4520,Yamato 791815,Valid,OC,0.0032400000000000003,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4521,Yamato 791929,Valid,OC,0.02178,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4522,Yamato 791521,Valid,OC,0.00282,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4523,Yamato 791522,Valid,OC,0.00248,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4524,Yamato 791523,Valid,OC,0.00082,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4525,Yamato 791524,Valid,OC,0.00068,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4526,Yamato 791525,Valid,OC,0.0007099999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4527,Yamato 791526,Valid,OC,0.00647,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4528,Yamato 791527,Valid,OC,0.00414,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4529,Yamato 791528,Valid,OC,0.0014,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4530,Yamato 791529,Valid,OC,0.0007700000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4531,Yamato 791531,Valid,OC,0.07792,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4532,Yamato 791532,Valid,OC,0.02831,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4533,Yamato 791535,Valid,OC,0.015519999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4534,Yamato 791536,Valid,OC,0.839,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4535,Yamato 791537,Valid,OC,0.06618,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4536,Yamato 791538,Valid,AA,0.41902999999999996,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4537,Yamato 791539,Valid,OC,1.907,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4538,Yamato 791540,Valid,OC,0.009949999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4539,Yamato 791558,Valid,OC,0.10164,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4540,Yamato 791557,Valid,OC,0.09065000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4541,Yamato 791556,Valid,OC,0.12925,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4542,Yamato 791555,Valid,OC,0.00106,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4543,Yamato 791550,Valid,OC,0.00117,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4544,Yamato 791549,Valid,OC,0.0019,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4545,Yamato 791520,Valid,OC,0.00285,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4546,Yamato 791548,Valid,OC,0.0021000000000000003,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4547,Yamato 791546,Valid,OC,0.07687000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4548,Yamato 791545,Valid,OC,0.19516999999999998,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4549,Yamato 791544,Valid,OC,0.00158,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4550,Yamato 791543,Valid,OC,0.00099,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4551,Yamato 791542,Valid,OC,0.00244,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4552,Yamato 791541,Valid,OC,0.00579,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4553,Yamato 791547,Valid,OC,0.00292,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4554,Yamato 791519,Valid,OC,0.02689,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4555,Yamato 791518,Valid,OC,0.00642,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4556,Yamato 791517,Valid,OC,0.01712,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4557,Yamato 791498,Valid,CC,0.00311,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4558,Yamato 791497,Valid,AA,0.00704,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4559,Yamato 791496,Valid,OC,0.00537,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4560,Yamato 791495,Valid,OC,0.04529,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4561,Yamato 791494,Valid,OC,0.02088,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4562,Yamato 791493,Valid,PA,0.00513,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4563,Yamato 791499,Valid,OC,0.00994,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4564,Yamato 791492,Valid,AA,0.04112,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4565,Yamato 791490,Valid,OC,0.01009,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4566,Yamato 791489,Valid,AA,0.00551,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4567,Yamato 791488,Valid,OC,0.00808,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4568,Yamato 791487,Valid,OC,0.013949999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4569,Yamato 791486,Valid,OC,0.56551,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4570,Yamato 791485,Valid,OC,0.0035299999999999997,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4571,Yamato 791491,Valid,PA,0.0316,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4572,Yamato 791559,Valid,OC,0.02621,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4573,Yamato 791500,Valid,OC,1.252,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4574,Yamato 791502,Valid,OC,0.13102,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4575,Yamato 791516,Valid,OC,0.08918000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4576,Yamato 791515,Valid,OC,0.00221,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4577,Yamato 791514,Valid,OC,0.00163,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4578,Yamato 791513,Valid,OC,0.0039700000000000004,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4579,Yamato 791512,Valid,OC,0.004690000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4580,Yamato 791511,Valid,OC,0.01034,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4581,Yamato 791501,Valid,OC,0.2831,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4582,Yamato 791510,Valid,UN,0.00977,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4583,Yamato 791508,Valid,OC,0.01281,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4584,Yamato 791507,Valid,OC,0.01277,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4585,Yamato 791506,Valid,OC,0.01662,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4586,Yamato 791505,Valid,OC,0.03111,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4587,Yamato 791504,Valid,OC,0.04155,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4588,Yamato 791503,Valid,OC,0.05511,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4589,Yamato 791509,Valid,OC,0.0099,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4590,Yamato 791560,Valid,OC,0.06167,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4591,Yamato 791561,Valid,OC,0.054270000000000006,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4592,Yamato 791562,Valid,OC,0.20532,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4593,Yamato 791613,Valid,OC,0.0155,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4594,Yamato 791612,Valid,OC,0.01597,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4595,Yamato 791611,Valid,OC,0.01485,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4596,Yamato 791610,Valid,OC,0.022609999999999998,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4597,Yamato 791609,Valid,OC,0.0189,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4598,Yamato 791608,Valid,OC,0.01977,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4599,Yamato 791614,Valid,OC,0.02147,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4600,Yamato 791607,Valid,OC,0.055630000000000006,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4601,Yamato 791605,Valid,OC,0.11263,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4602,Yamato 791604,Valid,OC,0.29744,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4603,Yamato 791603,Valid,AA,0.00509,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4604,Yamato 791602,Valid,OC,0.00335,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4605,Yamato 791601,Valid,CC,0.00206,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4606,Yamato 791600,Valid,OC,0.00074,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4607,Yamato 791606,Valid,OC,0.1824,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4608,Yamato 791599,Valid,OC,0.00855,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4609,Yamato 791615,Valid,OC,0.01822,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4610,Yamato 791617,Valid,OC,0.00893,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4611,Yamato 791631,Valid,OC,0.0123,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4612,Yamato 791630,Valid,OC,2.243,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4613,Yamato 791629,Valid,OC,0.12802000000000002,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4614,Yamato 791628,Valid,OC,0.00495,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4615,Yamato 791627,Valid,OC,0.00182,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4616,Yamato 791626,Valid,OC,0.00132,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4617,Yamato 791616,Valid,OC,0.00729,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4618,Yamato 791625,Valid,OC,0.0014,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4619,Yamato 791623,Valid,OC,0.00173,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4620,Yamato 791622,Valid,OC,0.00191,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4621,Yamato 791621,Valid,OC,0.00244,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4622,Yamato 791620,Valid,OC,0.005860000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4623,Yamato 791619,Valid,OC,0.00401,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4624,Yamato 791618,Valid,OC,0.0067,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4625,Yamato 791624,Valid,OC,0.00107,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4626,Yamato 791484,Valid,OC,0.01918,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4627,Yamato 791598,Valid,OC,0.00816,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4628,Yamato 791596,Valid,OC,0.0019199999999999998,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4629,Yamato 791576,Valid,OC,0.0044,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4630,Yamato 791575,Valid,OC,0.00319,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4631,Yamato 791574,Valid,OC,0.19973,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4632,Yamato 791573,Valid,AA,0.13433,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4633,Yamato 791572,Valid,OC,0.00631,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4634,Yamato 791571,Valid,OC,0.02368,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4635,Yamato 791577,Valid,OC,0.48141,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4636,Yamato 791570,Valid,OC,0.00058,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4637,Yamato 791568,Valid,OC,0.04007,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4638,Yamato 791567,Valid,OC,0.06798,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4639,Yamato 791566,Valid,OC,0.49717,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4640,Yamato 791565,Valid,OC,0.00813,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4641,Yamato 791564,Valid,OC,0.08431,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4642,Yamato 791563,Valid,OC,0.48787,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4643,Yamato 791569,Valid,OC,0.01058,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4644,Yamato 791597,Valid,OC,0.14799,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4645,Yamato 791578,Valid,OC,0.19144,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4646,Yamato 791580,Valid,OC,0.1146,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4647,Yamato 791595,Valid,OC,0.00584,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4648,Yamato 791594,Valid,OC,0.00078,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4649,Yamato 791593,Valid,OC,0.00086,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4650,Yamato 791592,Valid,OC,0.00133,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4651,Yamato 791591,Valid,OC,0.05709,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4652,Yamato 791590,Valid,OC,0.02057,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4653,Yamato 791579,Valid,OC,0.10806,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4654,Yamato 791589,Valid,OC,0.00391,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4655,Yamato 791586,Valid,OC,0.21968000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4656,Yamato 791585,Valid,OC,0.07919,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4657,Yamato 791584,Valid,OC,0.00252,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4658,Yamato 791583,Valid,OC,0.006690000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4659,Yamato 791582,Valid,OC,0.00326,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4660,Yamato 791581,Valid,OC,0.009609999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4661,Yamato 791587,Valid,OC,0.09981999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4662,Yamato 791483,Valid,OC,0.07359,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4663,Yamato 791482,Valid,OC,0.35262,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4664,Yamato 791481,Valid,OC,0.00213,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4665,Yamato 791378,Valid,OC,0.00214,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4666,Yamato 791377,Valid,OC,0.00474,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4667,Yamato 791376,Valid,OC,0.004940000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4668,Yamato 791375,Valid,OC,0.0052,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4669,Yamato 791374,Valid,OC,0.0063,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4670,Yamato 791373,Valid,OC,0.00871,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4671,Yamato 791379,Valid,OC,0.00449,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4672,Yamato 791372,Valid,OC,0.0053,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4673,Yamato 791370,Valid,OC,0.00907,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4674,Yamato 791369,Valid,OC,0.01105,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4675,Yamato 791368,Valid,OC,0.020550000000000002,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4676,Yamato 791367,Valid,OC,0.0152,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4677,Yamato 791366,Valid,OC,0.023039999999999998,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4678,Yamato 791364,Valid,OC,0.04504,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4679,Yamato 791371,Valid,OC,0.011130000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4680,Yamato 791363,Valid,OC,0.00683,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4681,Yamato 791380,Valid,OC,0.00697,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4682,Yamato 791382,Valid,OC,0.01636,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4683,Yamato 791407,Valid,OC,0.0581,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4684,Yamato 791406,Valid,OC,2.048,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4685,Yamato 791399,Valid,OC,0.00095,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4686,Yamato 791398,Valid,OC,0.0009599999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4687,Yamato 791392,Valid,OC,0.0030800000000000003,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4688,Yamato 791391,Valid,OC,0.0030299999999999997,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4689,Yamato 791381,Valid,OC,0.02441,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4690,Yamato 791390,Valid,OC,0.00232,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4691,Yamato 791388,Valid,OC,0.0035499999999999998,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4692,Yamato 791387,Valid,OC,0.00392,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4693,Yamato 791386,Valid,OC,0.00383,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4694,Yamato 791385,Valid,OC,0.013630000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4695,Yamato 791384,Valid,OC,0.01282,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4696,Yamato 791383,Valid,OC,0.01196,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4697,Yamato 791389,Valid,OC,0.0037400000000000003,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4698,Yamato 791408,Valid,OC,0.04593,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4699,Yamato 791362,Valid,OC,0.00342,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4700,Yamato 791359,Valid,OC,0.0020499999999999997,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4701,Yamato 791340,Valid,OC,0.0342,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4702,Yamato 791339,Valid,OC,0.00101,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4703,Yamato 791338,Valid,OC,0.00146,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4704,Yamato 791337,Valid,OC,0.00174,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4705,Yamato 791336,Valid,OC,0.00147,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4706,Yamato 791335,Valid,OC,0.0017900000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4707,Yamato 791341,Valid,OC,0.033710000000000004,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4708,Yamato 791334,Valid,OC,0.00184,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4709,Yamato 791332,Valid,OC,0.00227,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4710,Yamato 791331,Valid,OC,0.00235,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4711,Yamato 791330,Valid,OC,0.003,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4712,Yamato 791329,Valid,OC,0.00552,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4713,Yamato 791328,Valid,OC,0.00436,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4714,Yamato 791327,Valid,OC,0.00526,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4715,Yamato 791333,Valid,OC,0.00184,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4716,Yamato 791360,Valid,OC,0.00214,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4717,Yamato 791342,Valid,OC,0.01073,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4718,Yamato 791344,Valid,OC,0.01074,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4719,Yamato 791358,Valid,OC,0.0027400000000000002,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4720,Yamato 791357,Valid,OC,0.00278,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4721,Yamato 791356,Valid,OC,0.00237,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4722,Yamato 791355,Valid,OC,0.00471,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4723,Yamato 791354,Valid,OC,0.0052,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4724,Yamato 791353,Valid,OC,0.00632,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4725,Yamato 791343,Valid,OC,0.00855,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4726,Yamato 791352,Valid,OC,0.0038599999999999997,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4727,Yamato 791350,Valid,OC,0.013009999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4728,Yamato 791349,Valid,OC,0.01072,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4729,Yamato 791348,Valid,OC,0.013359999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4730,Yamato 791347,Valid,OC,0.01457,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4731,Yamato 791346,Valid,OC,0.0066,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4732,Yamato 791345,Valid,OC,0.0087,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4733,Yamato 791351,Valid,OC,0.00615,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4734,Yamato 791632,Valid,OC,0.53479,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4735,Yamato 791409,Valid,OC,0.05416,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4736,Yamato 791411,Valid,OC,0.00496,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4737,Yamato 791462,Valid,OC,0.09423000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4738,Yamato 791461,Valid,OC,0.011439999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4739,Yamato 791460,Valid,OC,0.01059,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4740,Yamato 791459,Valid,OC,0.023649999999999997,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4741,Yamato 791458,Valid,OC,0.008039999999999999,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4742,Yamato 791457,Valid,OC,0.04139,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4743,Yamato 791463,Valid,OC,0.01028,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4744,Yamato 791456,Valid,OC,0.03705,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4745,Yamato 791454,Valid,OC,0.008400000000000001,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4746,Yamato 791453,Valid,OC,0.15888999999999998,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4747,Yamato 791452,Valid,OC,0.20459,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4748,Yamato 791451,Valid,OC,0.00807,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4749,Yamato 791450,Valid,OC,0.19286,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4750,Yamato 791449,Valid,OC,0.10833,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4751,Yamato 791455,Valid,OC,0.05483,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4752,Yamato 791448,Valid,AA,0.0356,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4753,Yamato 791464,Valid,OC,0.01802,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4754,Yamato 791466,Valid,AA,0.02146,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4755,Yamato 791480,Valid,OC,0.00674,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4756,Yamato 791479,Valid,OC,0.00139,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
4757,Yamato 791478,Valid,OC,0.14695,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
