,name,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
60,Salles,Valid,OC,9.0,Fell,1798.0,46.05,4.63333,"(46.050000, 4.633330)"
61,Benares (a),Valid,OC,3.7,Fell,1798.0,25.36667,82.91667,"(25.366670, 82.916670)"
62,Mauritius,Valid,OC,0.22,Fell,1801.0,-20.0,57.0,"(-20.000000, 57.000000)"
63,Mässing,Valid,AA,1.6,Fell,1803.0,48.13333,12.61667,"(48.133330, 12.616670)"
64,Apt,Valid,OC,3.2,Fell,1803.0,43.86667,5.38333,"(43.866670, 5.383330)"
65,L'Aigle,Valid,OC,37.0,Fell,1803.0,48.76667,0.63333,"(48.766670, 0.633330)"
66,High Possil,Valid,OC,4.5,Fell,1804.0,55.9,-4.23333,"(55.900000, -4.233330)"
67,Bocas,Valid,OC,0.056,Fell,1804.0,23.0,-102.0,"(23.000000, -102.000000)"
68,Darmstadt,Valid,OC,0.1,Fell,1804.0,49.86667,8.65,"(49.866670, 8.650000)"
69,Durango,Valid,MIM,164.0,Found,1804.0,,,
70,Misteca,Valid,UN,10.0,Found,1804.0,16.8,-97.1,"(16.800000, -97.100000)"
71,Charcas,Valid,MIM,1400.0,Found,1804.0,23.08333,-101.01667,"(23.083330, -101.016670)"
72,Bitburg,Valid,NMIM,1500.0,Found,1805.0,49.96667,6.53333,"(49.966670, 6.533330)"
73,Doroninsk,Valid,OC,3.891,Fell,1805.0,51.2,112.3,"(51.200000, 112.300000)"
74,Asco,Valid,OC,0.041,Fell,1805.0,42.45,9.03333,"(42.450000, 9.033330)"
75,Alais,Valid,CC,6.0,Fell,1806.0,44.11667,4.08333,"(44.116670, 4.083330)"
76,Timochin,Valid,OC,65.5,Fell,1807.0,54.5,35.2,"(54.500000, 35.200000)"
77,Weston,Valid,OC,150.0,Fell,1807.0,41.266667,-73.266667,"(41.266667, -73.266667)"
78,Lissa,Valid,OC,12.8,Fell,1808.0,50.2,14.85,"(50.200000, 14.850000)"
79,Borgo San Donino,Valid,OC,1.676,Fell,1808.0,44.86667,10.05,"(44.866670, 10.050000)"
80,Stannern,Valid,AA,52.0,Fell,1808.0,49.28333,15.56667,"(49.283330, 15.566670)"
81,Moradabad,Valid,OC,0.07,Fell,1808.0,28.78333,78.83333,"(28.783330, 78.833330)"
82,Red River,Valid,MIM,800.0,Found,1808.0,32.0,-95.0,"(32.000000, -95.000000)"
83,Kikino,Valid,OC,0.195,Fell,1809.0,55.0,34.0,"(55.000000, 34.000000)"
84,Mooresfort,Valid,OC,3.52,Fell,1810.0,52.45,-8.33333,"(52.450000, -8.333330)"
85,Santa Rosa,Valid,MIM,825.0,Found,1810.0,5.91667,-73.0,"(5.916670, -73.000000)"
86,Brahin,Valid,P,823.0,Found,1810.0,52.5,30.33333,"(52.500000, 30.333330)"
87,Charsonville,Valid,OC,27.0,Fell,1810.0,47.93333,1.56667,"(47.933330, 1.566670)"
88,Caswell County,Valid,OC,1.36,Fell,1810.0,36.5,-79.25,"(36.500000, -79.250000)"
89,Kuleschovka,Valid,OC,6.0,Fell,1811.0,50.75,33.5,"(50.750000, 33.500000)"
90,Punganaru,Valid,UN,0.1,Fell,1811.0,13.33333,78.95,"(13.333330, 78.950000)"
91,Berlanguillas,Valid,OC,1.44,Fell,1811.0,41.68333,-3.8,"(41.683330, -3.800000)"
92,Erxleben,Valid,OC,2.25,Fell,1812.0,52.21667,11.25,"(52.216670, 11.250000)"
93,Toulouse,Valid,OC,1.03,Fell,1812.0,43.6,1.4,"(43.600000, 1.400000)"
94,Borodino,Valid,OC,0.5,Fell,1812.0,55.46667,35.86667,"(55.466670, 35.866670)"
95,Chantonnay,Valid,OC,31.5,Fell,1812.0,46.68333,1.05,"(46.683330, 1.050000)"
96,Limerick,Valid,OC,50.0,Fell,1813.0,52.56667,-8.78333,"(52.566670, -8.783330)"
97,Luotolax,Valid,AA,0.885,Fell,1813.0,61.2,27.7,"(61.200000, 27.700000)"
98,Bachmut,Valid,OC,18.0,Fell,1814.0,48.6,38.0,"(48.600000, 38.000000)"
99,Gurram Konda,Valid,OC,0.028,Fell,1814.0,13.78333,78.56667,"(13.783330, 78.566670)"
100,Lenarto,Valid,MIM,108.5,Found,1814.0,49.0,21.0,"(49.000000, 21.000000)"
101,Chail,Valid,OC,0.0005,Fell,1814.0,25.36667,81.66667,"(25.366670, 81.666670)"
102,Agen,Valid,OC,30.0,Fell,1814.0,44.21667,0.61667,"(44.216670, 0.616670)"
103,Durala,Valid,OC,13.2,Fell,1815.0,30.3,76.63333,"(30.300000, 76.633330)"
104,Chassigny,Valid,M,4.0,Fell,1815.0,47.71667,5.36667,"(47.716670, 5.366670)"
105,Hachi-oji,Valid,OC,0.0002,Fell,1817.0,35.65,139.33333,"(35.650000, 139.333330)"
106,Zaborzika,Valid,OC,3.867,Fell,1818.0,50.28333,27.68333,"(50.283330, 27.683330)"
107,Cambria,Valid,UN,16.3,Found,1818.0,43.2,-78.8,"(43.200000, -78.800000)"
108,Seres,Valid,OC,8.5,Fell,1818.0,41.05,23.56667,"(41.050000, 23.566670)"
109,Slobodka,Valid,OC,2.75,Fell,1818.0,55.0,35.0,"(55.000000, 35.000000)"
110,Cape York,Valid,MIM,58200.0,Found,1818.0,76.13333,-64.93333,"(76.133330, -64.933330)"
111,Pohlitz,Valid,OC,3.0,Fell,1819.0,50.93333,12.13333,"(50.933330, 12.133330)"
112,Jonzac,Valid,AA,5.0,Fell,1819.0,45.43333,-0.45,"(45.433330, -0.450000)"
113,Burlington,Valid,MIM,68.0,Found,1819.0,42.75,-75.18333,"(42.750000, -75.183330)"
114,Lixna,Valid,OC,5.213,Fell,1820.0,56.0,26.43333,"(56.000000, 26.433330)"
115,Juvinas,Valid,AA,91.0,Fell,1821.0,44.71667,4.3,"(44.716670, 4.300000)"
116,Imilac,Valid,P,920.0,Found,1822.0,-24.20333,-68.80667,"(-24.203330, -68.806670)"
117,Umbala,Valid,OC,0.1,Fell,1822.0,30.33333,76.33333,"(30.333330, 76.333330)"
118,Clohars,Valid,OC,0.048600000000000004,Fell,1822.0,,,
119,Futtehpur,Valid,OC,4.0,Fell,1822.0,25.95,80.81667,"(25.950000, 80.816670)"
120,Épinal,Valid,OC,0.277,Fell,1822.0,48.18333,6.46667,"(48.183330, 6.466670)"
121,Angers,Valid,OC,,Fell,1822.0,47.46667,-0.55,"(47.466670, -0.550000)"
122,Guilford County,Valid,MIM,1.1,Found,1822.0,35.56667,-79.83333,"(35.566670, -79.833330)"
123,Kadonah,Valid,OC,0.089,Fell,1822.0,27.08333,78.33333,"(27.083330, 78.333330)"
124,Botschetschki,Valid,OC,0.614,Fell,1823.0,51.33333,33.88333,"(51.333330, 33.883330)"
125,Nobleborough,Valid,AA,2.3,Fell,1823.0,44.08333,-69.48333,"(44.083330, -69.483330)"
126,Renazzo,Valid,CC,1.0,Fell,1824.0,44.76667,11.28333,"(44.766670, 11.283330)"
127,Zebrak,Valid,OC,2.0,Fell,1824.0,49.88333,13.91667,"(49.883330, 13.916670)"
128,Tounkin,Valid,OC,2.0,Fell,1824.0,51.73333,102.53333,"(51.733330, 102.533330)"
129,Honolulu,Valid,OC,2.42,Fell,1825.0,21.3,-157.86667,"(21.300000, -157.866670)"
130,Nanjemoy,Valid,OC,7.5,Fell,1825.0,38.41667,-77.16667,"(38.416670, -77.166670)"
131,Yanhuitlan,Valid,MIM,421.0,Found,1825.0,17.53333,-97.35,"(17.533330, -97.350000)"
132,Pavlograd,Valid,OC,40.0,Fell,1826.0,48.53333,35.98333,"(48.533330, 35.983330)"
133,Galapian,Valid,OC,0.13269999999999998,Fell,1826.0,44.3,0.4,"(44.300000, 0.400000)"
134,Mineo,Valid,P,0.042,Fell,1826.0,37.28333,14.7,"(37.283330, 14.700000)"
135,Drake Creek,Valid,OC,5.0,Fell,1827.0,36.4,-86.5,"(36.400000, -86.500000)"
136,Mhow,Valid,OC,0.35,Fell,1827.0,25.9,83.61667,"(25.900000, 83.616670)"
137,Bialystok,Valid,AA,4.0,Fell,1827.0,53.1,23.2,"(53.100000, 23.200000)"
138,La Caille,Valid,UN,626.0,Found,1828.0,43.73333,6.78333,"(43.733330, 6.783330)"
139,Richmond,Valid,OC,1.8,Fell,1828.0,37.46667,-77.5,"(37.466670, -77.500000)"
140,Krasnoi-Ugol,Valid,OC,2.44,Fell,1829.0,54.03333,40.9,"(54.033330, 40.900000)"
141,Deal,Valid,OC,0.028,Fell,1829.0,40.25,-74.0,"(40.250000, -74.000000)"
142,Bohumilitz,Valid,NMIM,59.0,Found,1829.0,49.05,13.76667,"(49.050000, 13.766670)"
143,Forsyth,Valid,OC,16.3,Fell,1829.0,33.01667,-83.96667,"(33.016670, -83.966670)"
144,Launton,Valid,OC,1.06,Fell,1830.0,51.9,-1.11667,"(51.900000, -1.116670)"
145,Perth,Valid,OC,0.002,Fell,1830.0,56.4,-3.43333,"(56.400000, -3.433330)"
146,Wessely,Valid,OC,3.75,Fell,1831.0,48.95,17.38333,"(48.950000, 17.383330)"
147,Vouillé,Valid,OC,20.0,Fell,1831.0,46.63333,0.16667,"(46.633330, 0.166670)"
148,Walker County,Valid,MIM,74.8,Found,1832.0,34.0,-87.16667,"(34.000000, -87.166670)"
149,Blansko,Valid,OC,0.47,Fell,1833.0,49.36667,16.63333,"(49.366670, 16.633330)"
150,Charwallas,Valid,OC,12.0,Fell,1834.0,29.48333,75.5,"(29.483330, 75.500000)"
151,Okniny,Valid,OC,12.0,Fell,1834.0,50.83333,25.5,"(50.833330, 25.500000)"
152,Lime Creek,Valid,NMIM,20.0,Found,1834.0,31.55,-87.51667,"(31.550000, -87.516670)"
153,Aldsworth,Valid,OC,0.7,Fell,1835.0,51.78333,-1.78333,"(51.783330, -1.783330)"
154,Charlotte,Valid,MIM,4.3,Fell,1835.0,36.16667,-87.33333,"(36.166670, -87.333330)"
155,Mascombes,Valid,OC,1.0,Fell,1836.0,45.36667,1.86667,"(45.366670, 1.866670)"
156,Wichita County,Valid,NMIM,145.0,Found,1836.0,34.06667,-98.91667,"(34.066670, -98.916670)"
157,Gibeon,Valid,MIM,26000.0,Found,1836.0,-25.5,18.0,"(-25.500000, 18.000000)"
158,Macau,Valid,OC,1.5,Fell,1836.0,-5.2,-36.66667,"(-5.200000, -36.666670)"
159,Aubres,Valid,AA,0.8,Fell,1836.0,44.38333,5.16667,"(44.383330, 5.166670)"
160,Cosby's Creek,Valid,NMIM,960.0,Found,1837.0,35.78333,-83.25,"(35.783330, -83.250000)"
161,Esnandes,Valid,OC,1.5,Fell,1837.0,46.25,-1.1,"(46.250000, -1.100000)"
162,Gross-Divina,Valid,OC,10.5,Fell,1837.0,49.26667,18.71667,"(49.266670, 18.716670)"
163,Yonozu,Valid,OC,31.65,Fell,1837.0,37.75,139.0,"(37.750000, 139.000000)"
164,Coahuila,Valid,MIM,2100.0,Found,1837.0,28.7,-102.73333,"(28.700000, -102.733330)"
165,Akbarpur,Valid,OC,1.8,Fell,1838.0,29.71667,77.95,"(29.716670, 77.950000)"
166,Slobodka (of P. Partsch),Valid,OC,0.95,Found,1838.0,55.0,35.0,"(55.000000, 35.000000)"
167,Montlivault,Valid,OC,0.5,Fell,1838.0,47.63333,1.58333,"(47.633330, 1.583330)"
168,Chandakapur,Valid,OC,8.8,Fell,1838.0,20.26667,76.01667,"(20.266670, 76.016670)"
169,Simbirsk (of P. Partsch),Valid,OC,1.5,Found,1838.0,54.3,48.4,"(54.300000, 48.400000)"
170,Kaee,Valid,OC,0.23,Fell,1838.0,27.25,79.96667,"(27.250000, 79.966670)"
171,Cold Bokkeveld,Valid,CC,5.2,Fell,1838.0,-33.13333,19.38333,"(-33.133330, 19.383330)"
172,Smithland,Valid,MIM,5.0,Found,1839.0,37.13333,-88.4,"(37.133330, -88.400000)"
173,Asheville,Valid,MIM,0.8,Found,1839.0,35.58333,-82.53333,"(35.583330, -82.533330)"
174,Little Piney,Valid,OC,0.491,Fell,1839.0,37.91667,-92.08333,"(37.916670, -92.083330)"
175,Black Mountain,Valid,NMIM,0.8,Found,1839.0,35.58333,-82.35,"(35.583330, -82.350000)"
176,Putnam County,Valid,MIM,32.7,Found,1839.0,33.25,-83.25,"(33.250000, -83.250000)"
177,Magura,Valid,NMIM,150.0,Found,1840.0,49.33333,19.48333,"(49.333330, 19.483330)"
178,Smithville,Valid,NMIM,70.5,Found,1840.0,35.98333,-85.85,"(35.983330, -85.850000)"
179,Uden,Valid,OC,0.71,Fell,1840.0,51.65,5.61667,"(51.650000, 5.616670)"
180,Abo,Valid,OC,0.0012,Found,1840.0,60.43333,22.3,"(60.433330, 22.300000)"
181,Karakol,Valid,OC,3.0,Fell,1840.0,47.21667,81.01667,"(47.216670, 81.016670)"
182,Cereseto,Valid,OC,6.46,Fell,1840.0,45.08333,8.3,"(45.083330, 8.300000)"
183,Carthage,Valid,MIM,127.0,Found,1840.0,36.26667,-85.98333,"(36.266670, -85.983330)"
184,Petropavlovsk,Valid,UN,7.0,Found,1841.0,53.35,87.18333,"(53.350000, 87.183330)"
185,St. Christophe-la-Chartreuse,Valid,OC,5.5,Fell,1841.0,46.95,-1.5,"(46.950000, -1.500000)"
186,Grüneberg,Valid,OC,1.0,Fell,1841.0,51.93333,15.5,"(51.933330, 15.500000)"
187,Château-Renard,Valid,OC,30.0,Fell,1841.0,47.93333,2.91667,"(47.933330, 2.916670)"
188,Aumieres,Valid,OC,2.0,Fell,1842.0,44.33333,3.23333,"(44.333330, 3.233330)"
189,Myhee Caunta,Valid,OC,,Fell,1842.0,23.05,72.63333,"(23.050000, 72.633330)"
190,Babb's Mill (Troost's Iron),Valid,UN,6.4,Found,1842.0,36.3,-82.88333,"(36.300000, -82.883330)"
191,Milena,Valid,OC,10.0,Fell,1842.0,46.18333,16.1,"(46.183330, 16.100000)"
192,Barea,Valid,MG,3.2,Fell,1842.0,42.38333,-2.5,"(42.383330, -2.500000)"
193,Picote,Valid,UN,,Fell,1843.0,41.36667,-6.23333,"(41.366670, -6.233330)"
194,Utrecht,Valid,OC,9.7,Fell,1843.0,52.11667,5.18333,"(52.116670, 5.183330)"
195,Manegaon,Valid,AA,0.05,Fell,1843.0,20.96667,76.1,"(20.966670, 76.100000)"
