,GeoLocation
188,"(44.333330, 3.233330)"
189,"(23.050000, 72.633330)"
190,"(36.300000, -82.883330)"
191,"(46.183330, 16.100000)"
192,"(42.383330, -2.500000)"
193,"(41.366670, -6.233330)"
194,"(52.116670, 5.183330)"
195,"(20.966670, 76.100000)"
196,"(46.750000, 36.816670)"
197,"(51.600000, 10.800000)"
198,"(48.416670, 43.200000)"
199,"(34.166670, -80.283330)"
200,"(21.166670, -100.866670)"
201,"(54.666670, -7.666670)"
202,"(44.383330, 2.816670)"
203,"(34.300000, -81.400000)"
204,"(47.166670, 0.433330)"
205,"(-35.300000, 144.566670)"
206,"(48.533330, -0.866670)"
207,"(36.416670, -85.500000)"
208,"(54.233330, 35.150000)"
209,"(37.266670, -89.583330)"
210,"(36.500000, -79.750000)"
211,"(26.000000, 92.000000)"
212,"(43.266670, 13.350000)"
213,"(48.116670, 10.466670)"
214,"(50.600000, 16.300000)"
215,"(41.900000, -91.600000)"
216,"(35.833330, -86.416670)"
217,"(18.316670, 73.916670)"
218,"(52.266670, 15.550000)"
219,"(59.733330, 10.866670)"
220,"(14.883330, 75.600000)"
221,"(44.500000, 0.150000)"
222,"(44.383330, -68.750000)"
223,"(34.700000, -81.200000)"
224,"(32.700000, 128.850000)"
225,"(35.250000, -80.500000)"
226,"(42.916670, -76.783330)"
227,"(37.950000, -85.783330)"
228,"(53.400000, 18.450000)"
229,"(40.433330, -80.000000)"
230,"(31.850000, -110.966670)"
231,"(37.500000, -79.750000)"
232,"(38.983330, 141.616670)"
233,"(23.100000, 87.300000)"
234,"(51.916670, 8.383330)"
235,"(41.633330, 0.750000)"
236,"(46.600000, 0.250000)"
237,"(26.783330, 82.833330)"
238,"(48.150000, 24.283330)"
239,"(37.233330, -80.733330)"
240,"(50.000000, 8.266670)"
241,"(14.300000, 79.766670)"
242,"(27.000000, -105.100000)"
243,"(25.333330, -104.666670)"
244,"(46.500000, 25.733330)"
245,"(37.316670, 13.566670)"
246,"(-4.000000, 39.500000)"
247,"(34.750000, -84.000000)"
248,"(36.433330, -83.750000)"
249,"(26.750000, 84.783330)"
250,"(50.883330, 10.516670)"
251,"(-38.100000, 145.300000)"
252,"(48.483330, 44.816670)"
253,"(33.500000, -89.000000)"
254,"(44.500000, -77.466670)"
255,"(35.850000, -82.700000)"
256,"(39.716670, -77.300000)"
257,"(54.766670, 113.983330)"
258,"(52.750000, 12.900000)"
259,"(25.000000, -103.500000)"
260,"(58.500000, 23.000000)"
261,"(-30.000000, 25.000000)"
262,"(35.300000, -86.633330)"
263,"(-34.250000, 147.700000)"
